Model,Train Accuracy,Test Accuracy,Train ROC-AUC,Test ROC-AUC,Precision,Recall,F1 Score
Random Forest - Baseline,0.9947390062098704,0.8779572386454687,0.9995028492121097,0.9480901066459193,0.8620353443022547,0.8005659309564234,0.8301643192488263
Random Forest - Broad RandomizedSearchCV,0.9335786355153982,0.8720111331337241,0.9878119180975826,0.9462774843391408,0.8626813406703352,0.7807583474816072,0.8196779751648743
Random Forest - Regularized Search,0.8751278347689485,0.8598237253827015,0.9563799756910929,0.936323383401372,0.8659848585469518,0.7379739671760045,0.7968711806404302
Random Forest - Moderate Final,0.8987126906978461,0.8663180533884367,0.9731549187706152,0.941980094962895,0.8670467798367241,0.757328805885682,0.8084823586273562
