Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.802,0.7742,0.6613,0.7133,0.8772
Random Forest,0.8779572386454687,0.8620353443022547,0.8005659309564234,0.8301643192488263,0.9480901332725941
Gradient Boosting,0.8309787880065787,0.799701974419471,0.7289190718732315,0.7626717195641876,0.9104045367898105
